Identifier,"Source String",Translation,Context,Labels,"Max. Length"
REPORT_NOTE_388,"The brush sometimes stops working. Unsubscribing and resubscribing (while the game is not running) often helps for a while, but a more permanent solution is to use the Loading Order Mod and set the loading order of Forest Brush to 9999.","ブラシが機能しない場合はサブスクを解除して、「再びサブスク (ゲームを起動する前) のやり直し」を試して下さい。これで一時的に機能しますが根本的な解決策は、「Loading Order ModでForest Brushのロード順序を9999に設定」して下さい。",REPORT_NOTE_388,,
REPORT_NOTE_389,"Not compatible with Unlock All + Wonders &amp; Landmarks.","Unlock All + Wonders &amp; Landmarksとの互換性はありません。",REPORT_NOTE_389,,
REPORT_NOTE_390,"External ressources are not used therefor you can’t use it on a new map. Various players report it’s not working at all.",外部リソースが使用されていないので、新しいマップでは使用できません。様々なプレイヤーから、全く機能しない報告があります。,REPORT_NOTE_390,,
REPORT_NOTE_391,"This seems to work, but is no longer supported. Use the Picker mod instead.","まだ動作しているようですが、作者のサポートは終了しています。サブスクの解除をして、Picker MODを使用して下さい。",REPORT_NOTE_391,,
REPORT_NOTE_392,"User reports that it is not working at all if you select heavy traffic.","ユーザーの報告: heavy trafficを選択すると、「設定自体が機能していない」という報告があります。",REPORT_NOTE_392,,
REPORT_NOTE_393,"Some users report volume too low or no sound at all for some tracks.","一部のユーザーから報告: 一部の線路や軌道で、「音量が小さい/全く音が出ない」という報告があります。",REPORT_NOTE_393,,
REPORT_NOTE_394,"Only a limited set of roads is included.",限られた道路のみが含まれています。,REPORT_NOTE_394,,
REPORT_NOTE_395,"This was or is missing a needed file. The mod was updated, but no indication that this was solved.",必要なファイルが不足していたので更新されましたが、「諸問題が解決された兆候」はありません。,REPORT_NOTE_395,,
REPORT_NOTE_396,"Highway textures will mirror randomly per segment when applying this mod and need to be rebuilt to fix.",MODを適用すると、高速道路のテクスチャが「セグメントごとにランダムに反転」します。修正するにはアップグレードで、個々にやり直す必要があります。,REPORT_NOTE_396,,
REPORT_NOTE_397,"The building info panel that pops up from the toolbar when placing buildings gives the old values for trucks/employees/etc.",建物の配置時にツールバーでポップアップする情報パネルは、「トラック/労働者などは古い数値」が表示されます。,REPORT_NOTE_397,,
REPORT_NOTE_398,"This is incompatible with mods that also change building capacity. Use Realistic Population Revisited instead for better compatibility.","建物の収容人数を変更する、様々なMODと互換性がありません。サブスクの解除をして、「Realistic Population Revisitedを使用」すれば互換性があるはずです。",REPORT_NOTE_398,,
REPORT_NOTE_399,"Vanilla passenger trains no longer spawn in color variation.",バニラの旅客列車が、「カラーバリエーションごとでスポーン」しません。,REPORT_NOTE_399,,
REPORT_NOTE_400,"Causes issues in late game. Better option is to use Game Anarchy and maximise the land value and entertainment.","ゲーム後半で問題が発生するので、「Game Anarchyの設定で地価と娯楽を最大化」するのが最善な改善方法です。",REPORT_NOTE_400,,
REPORT_NOTE_401,"Breaks the pause after loading game option.",ゲーム機能にある、ロード後の一時停止機能を勝手に解除します。,REPORT_NOTE_401,,
REPORT_NOTE_402,"As it is an outdated mod some panels may noth be unlocked.",古いMODなので、「DLC固有の一部のパネルがアンロック」されない可能性があります。,REPORT_NOTE_402,,
REPORT_NOTE_403,"This sometimes breaks transport lines.",これは時々路線設定を破壊します。,REPORT_NOTE_403,,
REPORT_NOTE_404,"DLCs after Campus can’t be selected.","DLC Campus以降に、発売されたDLCは選択できません。",REPORT_NOTE_404,,
REPORT_NOTE_405,"Parks might not level up if other than original pathes are used within the park area.",パークエリア内でバニラやDLC内の歩道以外を使用した場合は、「エリアがレベルアップしない」場合があります。,REPORT_NOTE_405,,
REPORT_NOTE_406,"Missing settings for the last few DLCs: Parklife, Industries, Campus, and Sunset Harbor.","DLC Parklife発売以降で、発売されたDLCの設定 (Parklife/Industries/Campus/Sunset Harbor) がありません。",REPORT_NOTE_406,,
REPORT_NOTE_407,"Works only with maps subscribed from the workshop. Uses detour and therefor incompatible with various other – mainly Harmony – mods.","ワークショップでサブスクしたマップでのみ動作します。迂回コードを使用するため、他の様々なMOD (主にHarmony関係) と互換性がありません。",REPORT_NOTE_407,,
REPORT_NOTE_408,"'Make historical' is part of the game itself now, but with this mod a historical building can't get abandoned.",歴史的建造物の設定はゲーム機能の一部ですが、「このMODでは歴史的建造物を放棄する」ことが出来ません。,REPORT_NOTE_408,,
REPORT_NOTE_409,"Depending on screen resolution it might be needed to use UI Resolution 1.2 (https://steamcommunity.com/sharedfiles/filedetails/?id=2487213155) to see all of TLM's UI","画面の解像度によってTLMのUIを全て表示するには、「UI Resolution 1.2を使用する」必要があるかも知れません。
UI Resolutionのワークショップ: https://steamcommunity.com/sharedfiles/filedetails/?id=2487213155",REPORT_NOTE_409,,
REPORT_NOTE_410,"Button for the settings not visible for several users.","複数のユーザーから報告: 「設定ボタンが表示されない」という報告があります。",REPORT_NOTE_410,,
REPORT_NOTE_411,"The traffic lights on some custom road do not change.",一部の道路アセットで、「信号機が変更」されません。,REPORT_NOTE_411,,
REPORT_NOTE_412,"Not able to name new districts.",追加された新しい地区で名前が命名できません。,REPORT_NOTE_412,,
REPORT_NOTE_413,"Not working on Vanilla roads from later than Sunser Harbour. You could keep subscribed but deactivated to use BOB https://steamcommunity.com/sharedfiles/filedetails/?id=2197863850 to exchange the props.","DLC Sunset Harbour以降で追加された、バニラ道路では動作していません。サブスクしたまま無効化して、「BOBを使用すればPropを置き換える」こともできます。
BOBのワークショップ: https://steamcommunity.com/sharedfiles/filedetails/?id=2197863850",REPORT_NOTE_413,,
REPORT_NOTE_414,"Resources depleed instead of being unlimited, language switches back to English every start and game is unlocked even if if this function is deactivated.",資源は無制限ではなく枯渇して、ゲームの開始時に言語が英語に毎回切り替わります。更に機能が無効でも、勝手にゲームはアンロックされます。,REPORT_NOTE_414,,
REPORT_NOTE_415,"Simulation Errors and conflits with various other mods.",シミュレーションエラーの原因や、他の様々なMODと競合しています。,REPORT_NOTE_415,,
REPORT_NOTE_416,"Doesn't show up in the CSL Music Mod.","CSL Music Modで表示されません。",REPORT_NOTE_416,,
REPORT_NOTE_417,"This is not updated for the Industries DLC and will probably not work for the industrial areas from that DLC.","DLC Industries用にアップデートされていないため、恐らくDLCにある産業エリアでは動作しません。",REPORT_NOTE_417,,
REPORT_NOTE_418,"On a T-intersection, no light appears on the intersecting road.",丁字路の交差点では交差する道路に、「信号機が配置/表示」されません。,REPORT_NOTE_418,,
REPORT_NOTE_419,"Some report not being able to save the game, especially with large numbers of procedural objects.","複数のユーザーから、特に大量のProcedural Objectsが配置されるとセーブできない報告があります。 (セーブに保存可能なデータサイズに制限があるため)",REPORT_NOTE_419,,
REPORT_NOTE_420,"This mod increases loading time, and this increase can be huge for big cities.",このMODはロード時間を増加させて、「大都市ではより大きな影響とロード時間」が延びます。,REPORT_NOTE_420,,
REPORT_NOTE_421,"The default English names still appear as well, next to the new Japanese names.",新しい日本語名の隣に、「デフォルトの英語名も一緒」に表示されます。,REPORT_NOTE_421,,
REPORT_NOTE_422,"Flickering or disappearing buildings.",建物のチラつきや消失することがあります。,REPORT_NOTE_422,,
REPORT_NOTE_423,"This is an incomplete version to lure you into buying a complete version.",完全版を購入させるために、「あなたに詐欺的な勧誘するため」の不完全版です。,REPORT_NOTE_423,,
REPORT_NOTE_424,"TouristAI error.",TouristAIのエラーが出ます。,REPORT_NOTE_424,,
REPORT_NOTE_425,"Forgets settings at start.",ゲーム起動時に設定を忘れます。,REPORT_NOTE_425,,
REPORT_NOTE_426,"Not working with the buildings from Promenades &amp; Plazas DLC. Causing various glitches and sometimes even crashes!","DLC Promenades &amp; Plazasの建物は動作しません。様々な問題が発生して、場合によってはクラッシュします！",REPORT_NOTE_426,,
REPORT_NOTE_427,"Several users report services not spawning vehicles anymore.","複数のユーザーから報告: 「サービス車両をスポーンしない」という報告がありす。",REPORT_NOTE_427,,
REPORT_NOTE_428,"Not working for all buildings, terrain spikes and holes, performance issues, errors messages.",全ての建物で動作せず、「地形の隆起や穴/パフォーマンスの問題/エラーメッセージ」が表示されます。,REPORT_NOTE_428,,
REPORT_NOTE_429,"Assets that are part of a mod might no longer be auto-enabled by the game.",MODに内包される一部のアセットで、「ゲームで自動的に有効化」されない場合があります。,REPORT_NOTE_429,,
REPORT_NOTE_430,"See workshop comments.",ワークショップのコメントを確認して下さい。,REPORT_NOTE_430,,
REPORT_NOTE_431,"LOD not correct.",LODの情報が正しくありません。,REPORT_NOTE_431,,
REPORT_NOTE_432,"Do not remove trees added after Campus DLC to the game.","DLC Campus以降に追加された樹木は、「ゲームから削除」しないで下さい。",REPORT_NOTE_432,,
REPORT_NOTE_433,"This causes (vanilla) trees to flicker.","樹木 (主にバニラ) がちらつく原因になります。",REPORT_NOTE_433,,
REPORT_NOTE_434,"If you subscribe to wrong configured assets that need this mod, these assets can cause game issues.",このMODを必要として間違った設定のアセットをサブスクした場合は、「これらのアセットが問題を起こす」可能性があります。,REPORT_NOTE_434,,
REPORT_NOTE_435,"Not recognise few latest DLC sounds.",最新で追加された、DLCのサウンドを認識できません。,REPORT_NOTE_435,,
REPORT_NOTE_436,"Not able to filter new DLC content, lags the game.",新しいDLCのコンテンツをフィルタリング出来ないので、「操作中はゲーム内でラグ」が発生します。,REPORT_NOTE_436,,
REPORT_NOTE_437,"Multiple reports about getting a blank screen when loading a map.",複数のユーザーからマップをロードすると、「何も無い/空白の画面になる」という報告があります。,REPORT_NOTE_437,,
REPORT_NOTE_438,"The reported issues might be unknown mod conflicts.",ユーザーから報告された問題は、「不明なMODが競合」している可能性があります。,REPORT_NOTE_438,,
REPORT_NOTE_439,"Some users get it to work fine, but there are quite some reports, including about settings resetting between loads.","一部のユーザーから報告: 動作していますが、「ロード中に設定がリセットされる」という報告が多くあります。",REPORT_NOTE_439,,
REPORT_NOTE_440,"On game load, the previous value is loaded correctly, but the slider in mod options will always be in the default position.",ゲームのロード時は正しい数値を認識していますが、MODオプションにある「スライダーは常にデフォルトの位置」にあります。,REPORT_NOTE_440,,
REPORT_NOTE_441,"White lines at the moon and Flickering when game running.",月面に白いラインが入る、ゲーム起動時にちらつく場合があります。,REPORT_NOTE_441,,
REPORT_NOTE_442,"Lag, game freezes and screen flashes are reported. Use with caution, or unsubscribe.",ユーザーから、「全体的なラグ/ゲームのフリーズ/画面のフラッシュする」という報告があります。注意して使用するか、問題が出る場合はサブスクを解除して下さい。,REPORT_NOTE_442,,
REPORT_NOTE_443,"Not showing up ingame.",ゲーム内で表示されません。,REPORT_NOTE_443,,
REPORT_NOTE_444,"This causes invisible transport lines.",この問題で見えない路線設定が発生します。,REPORT_NOTE_444,,
REPORT_NOTE_445,"""Make it Rain"" must be clicked (in Options) if many mods are used. Without mods it works on its own. Rain may flicker for a bit but settles later.","多くのMODを使用している場合は、「Make it Rainをクリック (オプションから) する」必要があります。MODを使用しない場合は単独で動作して、雨が少しチラつくかも知れませんが時間経過で落ち着きます。",REPORT_NOTE_445,,
REPORT_NOTE_446,"Causes strange effects on junctions and conflicts with various Mods.",ジャンクションに余計な影響が出たり、「様々なMODと競合」して問題を起こします。,REPORT_NOTE_446,,
REPORT_NOTE_447,"This might block the vanilla quay upgrade tool.",バニラにある護岸のアップグレードツールに対して、「動作を妨害する」可能性があります。,REPORT_NOTE_447,,
REPORT_NOTE_448,"Road arrow functionality not working, or only after disabling and re-enabling it on each load.",路面矢印の表示機能が動作していません。また、ロード毎に無効化される場合は、その都度で有効化する必要があります。,REPORT_NOTE_448,,
REPORT_NOTE_449,"This requires a deprecated and broken mod.",これは非推奨で、壊れたMODを必要としています。,REPORT_NOTE_449,,
REPORT_NOTE_450,"Public transport part not working anymore.",公共交通の一部が動作/機能しません。,REPORT_NOTE_450,,
REPORT_NOTE_451,"Not able to highlight new districts.",追加された新しい地区がハイライトできません。,REPORT_NOTE_451,,
REPORT_NOTE_452,"This might generate 'No Heat' warning on maps that don't require heat. Apply the policy 'Only use electricity for heating' to fix this.",地域暖房を必要/使用しないマップでは、「暖房がありません」の警告が表示される場合があります。問題を解決するには、「暖房は電気のみを使用」の条例を適用して下さい。,REPORT_NOTE_452,,
REPORT_NOTE_453,"Nursing Homes show as Deathcare coverage when placing them.","Nursing Homesで使用する老人ホームの建物は、「配置時に葬儀の影響範囲を対象」として表示します。",REPORT_NOTE_453,,
REPORT_NOTE_454,"This mod is not longer needed, unless you have an old asset that requires it.",一部の古いアセットが依存している場合を除いて、このMODは既に必要ありません。,REPORT_NOTE_454,,
REPORT_NOTE_455,"This seems to work fine for some users.",一部のユーザーでは、まだ正常に動作するようです。,REPORT_NOTE_455,,
REPORT_NOTE_456,"Breaks game if you setup to high values.",高い数値で設定すると、ゲームが破損します。,REPORT_NOTE_456,,
REPORT_NOTE_457,"Setting resets every load and for several players it is broken. Also very likely It will conflict with various other camera mods.","複数のユーザーで、「ロードする度に設定がリセットされて破損」するという報告があります。 また、様々なカメラMODと競合する可能性が非常に高いです。",REPORT_NOTE_457,,
REPORT_NOTE_458,"Bus stops on roads from newer patches and DLCs will not be replaced.",新しいパッチやDLCの道路上に配置された、「バス停は置き換え」が出来ません。,REPORT_NOTE_458,,
REPORT_NOTE_459,"This is not updated for the latest DLCs and is still missing a lot from the Industries DLC.","最新DLC用に更新/対応されずに、DLC Industriesで不足している機能が多くあります。",REPORT_NOTE_459,,
REPORT_NOTE_460,"Mod options resetting on game load.",ゲームのロード時に、MODオプションをリセットします。,REPORT_NOTE_460,,
REPORT_NOTE_461,"This breaks up the UI, especially text scaling.",この影響でUI内にあるテキストで、特にスケーリング処理が壊れます。,REPORT_NOTE_461,,
REPORT_NOTE_462,"Underground stations create a tunnel entrance, making it hard to connect the track to the station and disrupting the ground surface. Elevated and ground tracks seem fine.",地下駅はトンネルの出入口を作るため、「駅と線路の接続しづらく上部の地表」が乱れます。高架と地上の線路は、問題は無いと思われます。,REPORT_NOTE_462,,
REPORT_NOTE_463,"For some players it do not create ship pathes.",一部のプレイヤーでは、船舶の航路が作成されません。,REPORT_NOTE_463,,
REPORT_NOTE_464,"Do not support the Promenades &amp; Plazas buildings.","DLC Promenades &amp; Plazasにある建物をサポートしない下さい。",REPORT_NOTE_464,,
REPORT_NOTE_465,"This makes the lines of Walking Tours and Sightseeing Bus invisible. The line works, but you can't view or edit the path.",この影響で、徒歩ツアーと観光バスの「路線設定が消えて」見えません。路線設定そのものは機能していますが、路線の表示や編集が出来ません。,REPORT_NOTE_465,,
REPORT_NOTE_466,"This mod is suspected to sometimes prevent other mod buttons to show.",このMODは、他のMODボタンで表示を阻害する可能性があります。,REPORT_NOTE_466,,
REPORT_NOTE_467,"Saving can take very long for maps with a high volume of trees and a large number of fires.",大量の樹木や建物から広範囲に火災が発生中のマップでは、「セーブ時は非常に長い時間が掛かる」場合があります。,REPORT_NOTE_467,,
REPORT_NOTE_468,"This is missing all new item classes from all patches since release and from all DLCs.",公開以来で全てのパッチ/DLCで追加された、「新しいアイテムクラスが全て」欠落しています。,REPORT_NOTE_468,,
REPORT_NOTE_469,"This might need Ambient Sound Tuner 2.0: https://steamcommunity.com/workshop/filedetails/?id=818641631.","もしかしたら、Ambient Sounds Tuner 2.0が必要な場合があります。
Ambient Sounds Tuner 2.0のワークショップ: https://steamcommunity.com/workshop/filedetails/?id=818641631",REPORT_NOTE_469,,
REPORT_NOTE_470,"This is missing statistics from later DLCs and game patches.",公開以来のDLCやゲームパッチで追加された、「統計情報が欠落」しています。,REPORT_NOTE_470,,
REPORT_NOTE_471,"Dropdown not working, probably due to incompatibility with other mods.",ドロップダウンが機能しないのは、恐らく他のMODで競合や互換性に問題があります。,REPORT_NOTE_471,,
REPORT_NOTE_472,"Several functions are not working anymore and throws errors if you have not Industries DLC.","DLC Industriesが未導入の場合は、いくつかの機能が動作しないためエラーが発生します。",REPORT_NOTE_472,,
REPORT_NOTE_473,"Demand stays at zero.",RICOの需要がゼロのままで変化しません。,REPORT_NOTE_473,,
REPORT_NOTE_474,"Rocks can’t be deleted.","ロック (岩石) は削除できません。",REPORT_NOTE_474,,
REPORT_NOTE_475,"Disable scrolling with one of the hotkeys before dezoning to prevent accidental massive dezoning. The same applies to other actions performed with the right mouse button, like road upgrades.",偶発的な大規模なゾーニングの解除を防ぐために、「解除前にホットキーを使用してスクロールを無効化」して下さい。同様に道路のアップグレードなどで、マウスの右クリックで実行する他の操作にも該当します。,REPORT_NOTE_475,,
REPORT_NOTE_476,"Part of the base game and the Paradox Launcher.","ゲーム本体とParadox Launcherの一部です。",REPORT_NOTE_476,,
REPORT_NOTE_477,"In resolutions other than 16:9 aspect ratio, it moves to the top left corner, blocking the default Infoview button.",画面のアスペクト比が16:9以外の解像度では、左上に移動して「デフォルトのインフォビューボタン」を隠します。,REPORT_NOTE_477,,
REPORT_NOTE_478,"Images sometimes are only loaded if you restart the game and hotkeys also not work for all people.",ゲームを再起動しないと画像がロードされない、ホットキーもユーザーによっては機能しない場合があります。,REPORT_NOTE_478,,
REPORT_NOTE_479,"Not working for all buildings, performance issues, errors messages.",全ての建物で動作せず、パフォーマンスの問題やエラーメッセージが表示されます。,REPORT_NOTE_479,,
REPORT_NOTE_480,"Conflicts with Metro Overhaul Mod pillar selection.","Metro Overhaul Modの橋脚の選択機能と競合しています。",REPORT_NOTE_480,,
REPORT_NOTE_481,"This has some issues with spaces in names.",名前にスペースが入るという、いくつかの問題があります。,REPORT_NOTE_481,,
REPORT_NOTE_482,"Deactivate the build in mods of Colossal Order, as the functions are included in Game Anarchy: Unlimited Money, Unlimited Oil And Ore, Unlock All. Take care to activate the functions before loading into a save.","Colossal Order社の内蔵MODは、「Game Anarchyの機能にあるので無効化」して下さい。Unlimited Money/Unlimited Oil And Ore/Unlock Allの機能もあります。セーブをロードする前に、オプションで必要な機能を有効化して下さい。",REPORT_NOTE_482,,
REPORT_NOTE_483,"Be aware that this mod is instable and crashes may occur in larger cities!",このMODは不安定で、大都市ではクラッシュが発生する可能性があるので注意して下さい！,REPORT_NOTE_483,,
REPORT_NOTE_484,"Seems to be a Traffic Manager clone, but tells it is Auto Line Color and the sourcecode is not available.","Traffic Managerのクローンのようですが、実際はAuto Line Colorでソースコードは公開されていません。",REPORT_NOTE_484,,
REPORT_NOTE_485,"Various players report, information could not be gathered.",様々なプレイヤーの報告や情報の収集がまだ出来ていません。,REPORT_NOTE_485,,
REPORT_NOTE_486,"It’s in early development stage. See information on workshop page.",まだ開発の初期段階なので、ワークショップのページで情報を確認して下さい。,REPORT_NOTE_486,,
REPORT_NOTE_487,"Cargo trains for some do not spawn.",一部の貨物列車はスポーンしません。,REPORT_NOTE_487,,
REPORT_NOTE_488,"Deactivate the build in Unlimited Soil mod of Colossal Order, as its function is included in Extra Landscaping Tools.","Colossal Order社で内蔵しているUnlimited Soilは、「Extra Landscaping Tools」の機能にあるので無効化して下さい。",REPORT_NOTE_488,,
REPORT_NOTE_489,"Hide It Bobby can do all what No Radioactive can, except the tree color.","Hide It Bobbyは樹木のカラー以外は、「No Radioactive」の機能が全てあります。",REPORT_NOTE_489,,
REPORT_NOTE_490,"The copy feature from Move It can also duplicate unique buildings.","Move Itのコピー機能で、「ユニーク施設の建物も複製」することが可能です。",REPORT_NOTE_490,,
REPORT_NOTE_491,"The warehouse does not empty for some users. This might be caused by fishing boats taking up all vehicle slots, so no warehouse truck can spawn. Users have noticed trucks transferring fish from one warehouse to another.",一部のユーザーでは、「倉庫が全て空」になりません。何故か漁船が全ての車両枠を占有するため、倉庫のトラックがスポーンできないことが原因のようです。ユーザーは倉庫から倉庫へ魚介類を移送する、無意味なトラックに気づきました。,REPORT_NOTE_491,,
REPORT_NOTE_492,"This mod only works on Windows, not on MacOS or Linux. This is an advanced mod that requires Python scripting knowledge to use.",このMODはWindowsでのみ動作し、MacOSやLinuxでは動作しません。Pythonスクリプトの知識を使用して、操作する高度なMODです。,REPORT_NOTE_492,,
REPORT_NOTE_493,"Left hand traffic is not supported. This does not work on Linux. Opposite side traffic lights have some quirks on T-intersections and one-way roads.",左側通行はサポートせれずに、Linuxでも動作しません。丁字路や一方通行の道路では、対向車線の信号機の配置に癖があります。,REPORT_NOTE_493,,
REPORT_NOTE_494,"WARNING: This author was banned for putting malicious code in their mods. This mod is suspected of having malicious code in it. You'd better REMOVE IT IMMEDIATELY! WARNING: DON'T follow the instructions on the mod page to download an update through GitHub. That updater contains MALICIOUS code and will insert malicious code into this Harmony mod! The author is also known for deliberately breaking their own mods out of spite. Technically, this doesn't function very well, gives a lot of misguided errors and is incompatible with a lot of mods in the Workshop. Combined with the history of the author, it would be very wise to UNSUBSCRIBE!","警告！！ この作者はMODにマルウェアのコードを挿入したため、SteamからBANされました。MODにはマルウェアが存在する疑いがあるので、速やか且つ即刻削除して下さい。
警告！！ MODのページ内にある、GitHub経由で行うアップデートとダウンロードの指示に従わないで下さい。そのアップデータにはマルウェアのコードが含まれて、このHarmony MODにマルウェアのコードを挿入します。
この作者は腹いせに、作成したMODを故意に壊したことでも知られています。技術的には大して機能せず意図的に見当違いのエラーを大量に出し、ワークショップの多くのMODと互換性がありません。
作者のやり方や悪意を鑑みて、サブスクの解除を速やか且つ即刻削除して下さい！
公式のアナウンス: https://store.steampowered.com/news/app/255710/view/6047774523920146831",REPORT_NOTE_494,,
REPORT_NOTE_495,"Long station names or duplicate station names might break the layout. Lines which serve the same station multiple times might confuse the mod. Station names on multi-platform stations might be incorrect.",長い駅名/重複する駅名は、「路線設定を壊す」可能性があります。更に同じ駅で何度も停車する路線は、MODが混乱する可能性があります。また、マルチプラットフォームの駅名で、正しく表示しない可能性があります。,REPORT_NOTE_495,,
REPORT_NOTE_496,"Information on the Workshop for this is very limited, but seems to indicate this works. It takes some in-game time for the extra money to arrive.",ワークショップの情報が少ないですが、これは機能しているようです。ただし、追加した資金が充当されるには、ゲーム内で多少の時間が掛かります。,REPORT_NOTE_496,,
REPORT_NOTE_497,"WARNING: This author was banned for putting malicious code in their mods. The author is also known for deliberately breaking their own mods out of spite. Technically, this might function. Considering the history of the author, it would be very wise to UNSUBSCRIBE!","警告！！ この作者は自分のMODにマルウェアのコードを挿入したため、SteamからBANされました。また、この作者は腹いせに自分のMODをわざと壊していることでも知られています。もしかしたらMODは技術的には、機能するかも知れません。
作者のやり方や悪意を鑑みて、サブスクの解除を速やか且つ即刻削除して下さい！
公式のアナウンス: https://store.steampowered.com/news/app/255710/view/6047774523920146831",REPORT_NOTE_497,,
REPORT_NOTE_498,"Not working with delivery vehicles from the Industries and Sunset Harbor DLCs. Settings menu getting messed up (close and reopen settings might help). Potentially incompatible with all mods that modify the Vehicle AI.","DLC IndustriesとDLC Sunset Harborのトラックに対応していません。設定メニューが壊れたり (閉じて開き直すと直るかも知れません)、車両AIを変更する他のMODと互換性が無い可能性があります。",REPORT_NOTE_498,,
REPORT_NOTE_499,"Some users still get it to work, but for many it is partially or totally broken, including not being able to load a game save. Disabling the ""new algorithm for unclogging traffic jams near outside connections"" might help. Deleting the EnhancedDistrictServices.cgs file might also help, but you will lose all customizations.","一部のユーザーでは動作するようですが、多くのユーザーはセーブをロードできないなど「部分的/全体的に機能が破損」しています。
「new algorithm for unclogging traffic jams near outside connections」を無効化すると、問題が解決するかも知れません。もしくはEnhancedDistrictServices.cgsの設定ファイルの削除も有効かも知れませんが、全ての設定が無くなります。",REPORT_NOTE_499,,
REPORT_NOTE_500,"There is a bug with spawning as a cow. Slopes, ramps and elevated paths don't seem to work. Some can only walk backwards or are floating.",牛としてスポーンするバグが存在して、坂道/スロープ/高架の歩道は機能していないようです。更に後ろ向きで歩く人や、浮く人も出現します。,REPORT_NOTE_500,,
REPORT_NOTE_501,"This mod is not optimized and can cause performance issues. This probably has unknown incompatibilities with other mods.",このMODは最適化されておらず、パフォーマンスで問題を起こす可能性があります。恐らく、他のMODと不明な互換性もあります。,REPORT_NOTE_501,,
REPORT_NOTE_502,"This might increase loading time. If you have issues with font display, disable Custom Font Manager in the mod options.","この影響でロード時間が長くなる可能性があります。もしくはフォントキャッシュで問題 (文字が崩れる/全く読めないなど) がある場合は、MODオプションで「Custom Font Managerを無効化」して下さい。",REPORT_NOTE_502,,
REPORT_NOTE_503,"If intersections look blue, go into the mod's settings and enable auto-refresh. This increases loading time if you have many custom roads.",交差点がブルーで表示される場合は、「MODのオプションで自動更新を有効化」して下さい。道路アセットが多い場合は、マップの配置に応じてロード時間が延びます。,REPORT_NOTE_503,,
REPORT_NOTE_504,"Unsubscribe after use! This will spam the game log and seriously increase the size.",使用後はサブスクを解除して下さい！ゲームのログに大量スパムして、「ファイルサイズを深刻なほど増大」させます。,REPORT_NOTE_504,,
REPORT_NOTE_505,"Severe drop in FPS when creating roads. Some users get an 'invalid shape' error. Reversing direction sometimes gives an exception. The exception is harmless, but you can't reverse that segment and have to delete and recreate.","道路の敷設時に、fpsの著しい低下/一部のユーザで「invalid shape」のエラー/方向の反転時に例外エラーなど、様々な問題が発生する場合があります。恐らく例外エラーは問題無いですが、該当するセグメントが「反転出来ないので削除して再敷設」する必要があります。",REPORT_NOTE_505,,
REPORT_NOTE_506,"Increased loading time and memory usage. Short prop rendering distance.",ロード時間とメモリ使用量の増加して、Propの描画距離が短くなります。,REPORT_NOTE_506,,
REPORT_NOTE_507,"Grass might grow through CSUR roads. Hiding the grass with Hide It or raising the nodes slightly with Move It will help. Roads might sometimes be placed slightly below the surface. Raise them with Move It. Tunnel entrances from non-centered CSUR roads get covered by terrain. Some users report game crashes and CSUR interface not working.","CSURの道路と重なって草原が見えることがありますが、「Hide Itで草原を隠す/Move Itでノードを少し上げて」下さい。道路が地表より少し下で配置された場合は、「Move Itでそれらを全て上昇」させて下さい。CSURの道路が非中央タイプの場合は、トンネルの出入り口が地形に覆われることがあります。
多数のユーザーから報告: ゲームのクラッシュや、「CSURのUIが機能しない」という報告があります。",REPORT_NOTE_507,,
REPORT_NOTE_508,"Reported massive issues including: missing road textures, KeyNotFoundException error, game crashes, high memory usage.",道路テクスチャの欠落/「KeyNotFoundException」のエラー/ゲームのクラッシュ/高いメモリ使用量など、様々な重大な問題が報告されています。,REPORT_NOTE_508,,
REPORT_NOTE_509,"Button missing. Error popups.",ボタンが無く、エラーが表示されます。,REPORT_NOTE_509,,
REPORT_NOTE_510,"This often blocks the road upgrade button. The scaling feature is broken and should not be used. Users are reporting some other issues as well.",道路のアップグレードボタンの操作を阻害して、「スケーリング機能は壊れて」いるので使用しないで下さい。他にも問題が報告されています。,REPORT_NOTE_510,,
REPORT_NOTE_511,"Errors on startup. Missing UI. Performance issues (fps drops).",起動時にエラーが発生して、UIが表示されない/パフォーマンスやfpsの低下など問題があります。,REPORT_NOTE_511,,
REPORT_NOTE_512,"Hotkey not working (try left shift instead of right shift). Light settings of Ultimate Eyecandy resetting or the light getting very dark on any change in Relight settings, or at game loading.","ホットキーが機能していません。 (右SHIFTで無く左SHIFTを試して下さい) またはロード時にUltimate Eyecandyの設定がリセットされたり、Relightで設定を変更するとマップが非常に暗くなる場合があります。",REPORT_NOTE_512,,
REPORT_NOTE_513,"Screen flashes / flickering. Time jumping or going backwards.",画面が点滅/チラついたり、時間が飛んだり戻ったすることがあります。,REPORT_NOTE_513,,
REPORT_NOTE_514,"Several users report colors resetting when reloading a game. Copy-pasting colors from one prop to another doesn't (always) work.","複数のユーザーから報告: ゲームをリロードすると、「カラーがリセットされる」という報告があります。Propから別のPropにカラーをコピペする場合は (常に) 反映されないようです。",REPORT_NOTE_514,,
REPORT_NOTE_515,"Showing the wrong type of traffic light when using 'Large Avenue with Grass'. It might not work for left hand traffic (LHT) and for small one-way roads or roads with trams.","「Large Avenue with Grass」を使用すると、間違ったタイプの信号機が表示されます。 また、左側通行で小さな一方通行道路/トラムの軌道付き道路では使えない場合があります。",REPORT_NOTE_515,,
